MovingAverage7/USDT,MovingAverage25/USDT,BinancePriceBTC/USDT,Time/HH:MM:SS
41047.31714285712,41110.7964,41029.84,23:24:04
41048.84571428569,41111.2244,41050.61,23:24:19
41051.078571428545,41111.8496,41061.35,23:24:35
41049.41285714284,41111.383200000004,41027.79,23:24:51
41048.729999999974,41110.5112,41046.46,23:25:06
41049.002857142834,41110.5876,41048.54,23:25:22
41048.31428571426,41110.3948,41040.26,23:25:38
41047.62714285712,41110.202399999995,41040.26,23:25:53
41048.91285714284,41107.2284,41042.33,23:26:09
41049.54714285712,41107.406,41044.4,23:26:25
41049.03428571427,41107.2624,41044.4,23:26:41
41045.05714285712,41106.148799999995,41013.07,23:26:56
41042.48285714283,41102.1544,41031.62,23:27:12
41042.31857142855,41102.1084,41023.2,23:27:28
41039.48285714283,41101.3144,41002.07,23:27:43
41045.05857142855,41098.53599999999,41039.15,23:27:59
41049.95714285712,41099.9076,41064.49,23:28:41
41049.819999999985,41099.8692,41066.56,23:28:57
41056.62428571427,41096.404,41089.3,23:29:12
41061.14142857141,41093.458,41064.52,23:29:59
41061.14428571429,41093.4588,41069.93,23:30:57
41062.86,41089.0496,41053.07,23:31:13
41062.86,41089.0496,41053.07,23:31:29
41054.217142857146,41082.1328,41017.3,23:32:00
41051.072857142855,41081.2524,41002.05,23:32:16
41050.217142857146,41081.0128,40980.02,23:32:32
41051.787142857145,41081.452399999995,40988.29,23:32:48
41047.17285714286,41075.266800000005,40988.29,23:33:04
41046.780000000006,41075.156800000004,40980.02,23:33:19
41046.93142857143,41075.1992,40980.02,23:33:35
41045.791428571436,41074.88,40980.02,23:33:51
41035.92571428572,41068.0744,40980.02,23:34:07
41036.985714285714,41068.3712,40994.43,23:34:23
41039.16142857143,41068.9804,40994.43,23:34:39
41039.06857142858,41068.9544,40994.43,23:34:54
41027.72714285715,41061.3492,40994.43,23:35:10
41026.72571428573,41061.0688,40994.43,23:35:26
41031.29428571429,41062.348,41021.19,23:35:42
41031.292857142864,41062.3476,41021.19,23:35:58
41029.722857142864,41058.956399999995,41048.37,23:36:13
41026.43000000001,41058.0344,41032.35,23:36:29
41025.86571428572,41057.876399999994,41015.37,23:36:45
41018.58142857144,41053.7828,41015.37,23:37:01
41016.86571428572,41053.3024,41015.37,23:37:16
41013.85142857144,41052.458399999996,40981.29,23:37:32
41013.461428571434,41052.3492,40987.5,23:37:48
41010.138571428586,41048.05959999999,40987.51,23:38:03
41009.67142857144,41047.9288,40987.51,23:38:19
41009.670000000006,41047.9284,40997.87,23:38:35
41009.50571428572,41047.882399999995,40985.35,23:38:50
41005.84285714286,41042.6976,40984.11,23:39:06
41003.79571428573,41042.1244,40980.86,23:39:22
40997.3242857143,41040.312399999995,40919.14,23:39:38
40993.03285714286,41039.110799999995,40912.92,23:39:54
40978.732857142866,41029.348000000005,40907.67,23:40:09
40982.072857142855,41030.283200000005,40915.65,23:40:25
40982.15142857144,41030.30520000001,40915.65,23:40:41
40980.478571428575,41029.836800000005,40908.35,23:40:56
40973.721428571436,41024.5704,40953.54,23:41:12
40969.872857142866,41023.4928,40916.6,23:41:28
40970.76428571429,41023.742399999996,40924.93,23:41:44
40970.76428571429,41023.742399999996,40927.08,23:41:59
40957.251428571435,41019.4816,40927.14,23:42:15
40957.251428571435,41019.4816,40927.39,23:42:31
40960.687142857154,41020.44359999999,40950.28,23:42:47
40949.25428571429,41016.02920000001,40950.24,23:43:03
41081.471428571436,41070.615200000015,41033.99,15:16:18
41080.25285714287,41070.27400000001,41027.08,15:16:34
41079.09571428573,41069.95000000001,41013.87,15:16:49
41062.99142857145,41073.216000000015,41016.49,15:17:05
41060.97285714287,41072.65080000002,41014.14,15:17:21
41063.20714285715,41073.27640000002,41020.56,15:17:37
41062.45714285715,41073.06640000002,41018.52,15:17:53
41050.472857142864,41076.555600000014,41020.55,15:18:08
41050.88285714287,41076.67040000002,41025.83,15:18:39
41050.94000000001,41076.68640000001,41018.03,15:18:54
41043.84000000002,41079.672000000006,41018.56,15:19:10
41042.37571428573,41079.26200000001,41010.33,15:19:27
41039.37000000002,41078.4204,40988.27,15:19:42
41038.94142857145,41078.30040000001,40990.39,15:19:58
41026.22571428572,41078.8888,40997.91,15:20:14
41026.01285714286,41078.82920000001,41002.69,15:20:30
41026.10857142857,41078.85600000001,41002.96,15:20:46
41018.49428571429,41079.00320000001,41000.87,15:21:01
41024.01714285714,41080.549600000006,41038.02,15:21:17
41023.22000000001,41080.3264,41025.67,15:21:33
41023.87714285714,41080.51040000001,41031.89,15:21:48
41025.11285714286,41081.567599999995,41048.39,15:22:04
41021.88285714287,41080.663199999995,41019.53,15:22:20
41023.077142857146,41080.997599999995,41025.79,15:22:36
41021.38857142858,41080.5248,41017.46,15:22:51
41018.09571428572,41075.6444,40992.53,15:23:07
41015.902857142864,41075.0304,40979.96,15:23:23
41017.105714285724,41075.3672,40982.06,15:23:39
41016.62142857143,41075.2316,40977.85,15:23:55
41011.5842857143,41070.2336,40979.94,15:24:10
41011.19428571429,41070.1244,40977.88,15:24:26
41011.722857142864,41070.272399999994,40977.99,15:24:42
41012.13571428572,41070.388,40984.48,15:24:57
40797.09857142861,40806.00520000001,40795.32,07:23:00
40798.68285714289,40806.82560000002,40795.32,07:23:16
40798.56571428575,40806.792800000025,40793.25,07:23:32
40798.13714285718,40806.67280000002,40793.25,07:23:47
40796.96571428575,40807.77400000001,40780.94,07:24:03
40796.767142857185,40807.71840000001,40781.54,07:24:19
40798.81000000004,40808.29040000001,40791.17,07:24:35
40798.81142857147,40808.29080000001,40791.17,07:24:51
40800.890000000036,40808.17080000001,40791.17,07:25:08
40800.4528571429,40808.048400000014,40791.17,07:25:23
40800.29000000004,40808.00280000001,40791.17,07:25:39
40799.704285714324,40807.83880000001,40791.16,07:25:54
40800.795714285756,40806.97720000001,40780.94,07:26:10
40800.797142857184,40806.97760000001,40780.95,07:26:26
40800.465714285754,40806.884800000014,40782.98,07:26:41
40800.14714285719,40806.79560000001,40780.94,07:26:57
40799.54000000004,40805.744399999996,40780.94,07:27:12
40798.14428571433,40805.3536,40765.41,07:27:28
40798.680000000044,40805.5036,40765.41,07:27:44
40795.98571428575,40804.2668,40765.41,07:27:59
40796.170000000035,40804.3184,40765.42,07:28:15
40795.62000000004,40804.164399999994,40765.42,07:28:31
40544.21857142871,40553.701200000054,40552.65,10:28:10
40552.63571428585,40554.671200000055,40554.69,10:29:13
